अ	अ |
रोमाञ्च	र ो म ा ञ ् च |
रोमानियादेशीयां	र ो म ा न ि य ा द े श ी य ा ं |
रोयल्चैलेन्जर्स्क्रीडकैः	र ो य ल ् च ै ल े न ् ज र ् स ् क ् र ी ड क ै ः |
रौक्ष्ण्यं	र ौ क ् ष ् ण ् य ं |
र्वियुक्ताः	र ् व ि य ु क ् त ा ः |
लक्ष	ल क ् ष |
लक्षण	ल क ् ष ण |
लक्षणय	ल क ् ष ण य |
लक्षभारतीयनागरिकाः	ल क ् ष भ ा र त ी य न ा ग र ि क ा ः |
लक्षमितो	ल क ् ष म ि त ो |
लक्षरूप्यकेभ्यो	ल क ् ष र ू प ् य क े भ ् य ो |
लक्षाधिकाः	ल क ् ष ा ध ि क ा ः |
लक्ष्य	ल क ् ष ् य |
लक्ष्यीकृत्य	ल क ् ष ् य ी क ृ त ् य |
लक्ष्ये	ल क ् ष ् य े |
लखीपुरासनाय	ल ख ी प ु र ा स न ा य |
लखीम्पुर्खिरीसीतापुर्श्रावस्तीबलरामपुर्गोण्डाजनपदानां	ल ख ी म ् प ु र ् ख ि र ी स ी त ा प ु र ् श ् र ा व स ् त ी ब ल र ा म प ु र ् ग ो ण ् ड ा ज न प द ा न ा ं |
लघु	ल घ ु |
लद्दाख	ल द ् द ा ख |
लभ्यते	ल भ ् य त े |
लश्करएतैयबासंघटनस्य	ल श ् क र ए त ै य ब ा स ं घ ट न स ् य |
लश्कर्इतोयबासंघटनस्य	ल श ् क र ् इ त ो य ब ा स ं घ ट न स ् य |
लातेहार्	ल ा त े ह ा र ् |
लाभानां	ल ा भ ा न ा ं |
लाल	ल ा ल |
लाल्नेहरोः	ल ा ल ् न े ह र ो ः |
लिखितं	ल ि ख ि त ं |
लिङ्ग	ल ि ङ ् ग |
लियूशिनं	ल ि य ू श ि न ं |
लीबिया	ल ी ब ि य ा |
लेखनीः	ल े ख न ी ः |
लेखा	ल े ख ा |
लैकिकं	ल ै क ि क ं |
लोक	ल ो क |
लोकसभा	ल ो क स भ ा |
लोकसभाध्यक्षः	ल ो क स भ ा ध ् य क ् ष ः |
लोकसभाध्यक्षपदार्थं	ल ो क स भ ा ध ् य क ् ष प द ा र ् थ ं |
लोकसभाध्यक्षया	ल ो क स भ ा ध ् य क ् ष य ा |
लोकसभाध्यक्षा	ल ो क स भ ा ध ् य क ् ष ा |
लोकसभाध्यक्षां	ल ो क स भ ा ध ् य क ् ष ा ं |
लोकसभानिर्वाचनकालेषु	ल ो क स भ ा न ि र ् व ा च न क ा ल े ष ु |
लोकसभानिर्वाचनानां	ल ो क स भ ा न ि र ् व ा च न ा न ा ं |
लोकसभानिर्वाचनानाम्	ल ो क स भ ा न ि र ् व ा च न ा न ा म ् |
लोकसभानिर्वाचनेषु	ल ो क स भ ा न ि र ् व ा च न े ष ु |
लोकसभामहानिर्वाचनानां	ल ो क स भ ा म ह ा न ि र ् व ा च न ा न ा ं |
लोकसभामहानिर्वाचनानि	ल ो क स भ ा म ह ा न ि र ् व ा च न ा न ि |
लोकसभायां	ल ो क स भ ा य ा ं |
लोकसभायाः	ल ो क स भ ा य ा ः |
लोकसभायाम्	ल ो क स भ ा य ा म ् |
लोकसभासनानाम्	ल ो क स भ ा स न ा न ा म ् |
लोका	ल ो क ा |
लोकाः	ल ो क ा ः |
लोकानुजिघृक्षया	ल ो क ा न ु ज ि घ ृ क ् ष य ा |
लोके	ल ो क े |
लोकेपि	ल ो क े प ि |
लोकेभ्यः	ल ो क े भ ् य ः |
लौकिकं	ल ौ क ि क ं |
लौकिकस्संपद्यते	ल ौ क ि क स ् स ं प द ् य त े |
व	व |
वः	व ः |
वक्तव्यं	व क ् त व ् य ं |
वक्तव्यमभिलक्ष्य	व क ् त व ् य म भ ि ल क ् ष ् य |
वक्ष्यन्ति	व क ् ष ् य न ् त ि |
वक्ष्यमाणान्	व क ् ष ् य म ा ण ा न ् |
वचन	व च न |
वचनमपि	व च न म प ि |
वचनम्	व च न म ् |
वचनाच्च	व च न ा च ् च |
वचनानि	व च न ा न ि |
वचनान्	व च न ा न ् |
वत्सार्थम्	व त ् स ा र ् थ म ् |
वदन्	व द न ् |
वदन्ति	व द न ् त ि |
वदन्नस्ति	व द न ् न स ् त ि |
वनराजः	व न र ा ज ः |
वन्पोह्ग्रामे	व न ् प ो ह ् ग ् र ा म े |
वन्य	व न ् य |
वयं	व य ं |
वरति	व र त ि |
वराणस्यां	व र ा ण स ् य ा ं |
वरिष्ठः	व र ि ष ् ठ ः |
वरिष्ठनागरिकेभ्यः	व र ि ष ् ठ न ा ग र ि क े भ ् य ः |
वरिष्ठरक्ष्यधीक्षकः	व र ि ष ् ठ र क ् ष ् य ध ी क ् ष क ः |
वरिष्ठा	व र ि ष ् ठ ा |
वरिष्ठाधिकारिणो	व र ि ष ् ठ ा ध ि क ा र ि ण ो |
वरिष्ठान्	व र ि ष ् ठ ा न ् |
वरिष्ठायाः	व र ि ष ् ठ ा य ा ः |
वरिष्ठैः	व र ि ष ् ठ ै ः |
वरिष्ठो	व र ि ष ् ठ ो |
वर्गस्य	व र ् ग स ् य |
वर्गाणि	व र ् ग ा ण ि |
वर्गीयचरमपन्थिनां	व र ् ग ी य च र म प न ् थ ि न ा ं |
वर्गीयद्वन्द्वे	व र ् ग ी य द ् व न ् द ् व े |
वर्गीयाणां	व र ् ग ी य ा ण ा ं |
वर्गे	व र ् ग े |
वर्गेण	व र ् ग े ण |
वर्णितम्	व र ् ण ि त म ् |
वर्णिता	व र ् ण ि त ा |
वर्तते	व र ् त त े |
वर्तन्ते	व र ् त न ् त े |
वर्तमान	व र ् त म ा न |
वर्तमानस्य	व र ् त म ा न स ् य |
वर्तमानानांसम्बन्धानां	व र ् त म ा न ा न ा ं स म ् ब न ् ध ा न ा ं |
वर्तमानानि	व र ् त म ा न ा न ि |
वर्तमानैः	व र ् त म ा न ै ः |
वर्तित	व र ् त ि त |
वर्धकेन	व र ् ध क े न |
वर्धमानां	व र ् ध म ा न ा ं |
वर्धापयन्	व र ् ध ा प य न ् |
वर्धापितः	व र ् ध ा प ि त ः |
वर्धापितवती	व र ् ध ा प ि त व त ी |
वर्धापितवान्	व र ् ध ा प ि त व ा न ् |
वर्यं	व र ् य ं |
वर्यस्य	व र ् य स ् य |
वर्यायाः	व र ् य ा य ा ः |
वर्येण	व र ् य े ण |
वर्षतो	व र ् ष त ो |
वर्षदेशीयेन	व र ् ष द े श ी य े न |
वर्षाणि	व र ् ष ा ण ि |
वर्षार्थं	व र ् ष ा र ् थ ं |
वर्षावधये	व र ् ष ा व ध य े |
वर्षीयं	व र ् ष ी य ं |
वर्षीयरेलार्थसंकल्पस्य	व र ् ष ी य र े ल ा र ् थ स ं क ल ् प स ् य |
वर्षीया	व र ् ष ी य ा |
वर्षीये	व र ् ष ी य े |
वर्षे	व र ् ष े |
वर्षेभ्य	व र ् ष े भ ् य |
वसन्ते	व स न ् त े |
वसुन्धरा	व स ु न ् ध र ा |
वस्तु	व स ् त ु |
वस्तूनि	व स ् त ू न ि |
वस्त्रम्	व स ् त ् र म ् |
वहति	व ह त ि |
वा	व ा |
वांगयिः	व ा ं ग य ि ः |
वांग्यिः	व ा ं ग ् य ि ः |
वाऋषिर्वा	व ा ऋ ष ि र ् व ा |
वाक्कलहेन	व ा क ् क ल ह े न |
वाक्यम्	व ा क ् य म ् |
वाक्यानां	व ा क ् य ा न ा ं |
वाक्येषु	व ा क ् य े ष ु |
वाच्याः	व ा च ् य ा ः |
वाच्यानि	व ा च ् य ा न ि |
वाजपेयः	व ा ज प े य ः |
वाञ्छति	व ा ञ ् छ त ि |
वाञ्छन्ति	व ा ञ ् छ न ् त ि |
वातेः	व ा त े ः |
वादनं	व ा द न ं |
वादश्रवणम्	व ा द श ् र व ण म ् |
वानरैः	व ा न र ै ः |
वाम	व ा म |
वामपंथ्	व ा म प ं थ ् |
वायु	व ा य ु |
वारं	व ा र ं |
वारमेव	व ा र म े व |
वाराणस्यां	व ा र ा ण स ् य ा ं |
वाराणस्यामायोज्यमानेषु	व ा र ा ण स ् य ा म ा य ो ज ् य म ा न े ष ु |
वार्ता	व ा र ् त ा |
वार्ताहर	व ा र ् त ा ह र |
वार्ताहरसम्मेलनं	व ा र ् त ा ह र स म ् म े ल न ं |
वार्ताहरसम्मेलनमेकं	व ा र ् त ा ह र स म ् म े ल न म े क ं |
वार्ताहराणं	व ा र ् त ा ह र ा ण ं |
वार्ताहरान्	व ा र ् त ा ह र ा न ् |
वार्ताहरैः	व ा र ् त ा ह र ै ः |
वार्ताहरो	व ा र ् त ा ह र ो |
वासरे	व ा स र े |
वासीयाः	व ा स ी य ा ः |
वास्तविक्नियन्त्रण	व ा स ् त व ि क ् न ि य न ् त ् र ण |
वि	व ि |
विंशजि	व ि ं श ज ि |
विंशति	व ि ं श त ि |
विंशतिः	व ि ं श त ि ः |
विंशतिमितं	व ि ं श त ि म ि त ं |
विंशतिश्च	व ि ं श त ि श ् च |
विंशतिश्चाहताः	व ि ं श त ि श ् च ा ह त ा ः |
विंशाः	व ि ं श ा ः |
विंशे	व ि ं श े |
विः	व ि ः |
विएतनामदेशमन्त्	व ि ए त न ा म द े श म न ् त ् |
विएतनामदेशस्य	व ि ए त न ा म द े श स ् य |
विकल्पो	व ि क ल ् प ो |
विकार	व ि क ा र |
विकारस्य	व ि क ा र स ् य |
विकास	व ि क ा स |
विकासनीयाः	व ि क ा स न ी य ा ः |
विकासपर्यावरण्संरक्षणार्थं	व ि क ा स प र ् य ा व र ण ् स ं र क ् ष ण ा र ् थ ं |
विकासमितिः	व ि क ा स म ि त ि ः |
विकासस्य	व ि क ा स स ् य |
विकासाय	व ि क ा स ा य |
विकासितश्च	व ि क ा स ि त श ् च |
विकृतिपाठाः	व ि क ृ त ि प ा ठ ा ः |
विकृतियागाः	व ि क ृ त ि य ा ग ा ः |
विकृतिश्चेति	व ि क ृ त ि श ् च े त ि |
विखण्डितानि	व ि ख ण ् ड ि त ा न ि |
विख्यातस्य	व ि ख ् य ा त स ् य |
विगत	व ि ग त |
विगतमध्य	व ि ग त म ध ् य |
विघाटयितुं	व ि घ ा ट य ि त ु ं |
विघाटितानि	व ि घ ा ट ि त ा न ि |
विचारः	व ि च ा र ः |
विचारणा	व ि च ा र ण ा |
विचारणां	व ि च ा र ण ा ं |
विचारणाः	व ि च ा र ण ा ः |
विचारणाम्	व ि च ा र ण ा म ् |
विचारयति	व ि च ा र य त ि |
विचारयेत्	व ि च ा र य े त ् |
विचारविनिमयः	व ि च ा र व ि न ि म य ः |
विचारविमर्शः	व ि च ा र व ि म र ् श ः |
विचारविमर्शस्य	व ि च ा र व ि म र ् श स ् य |
विचाराः	व ि च ा र ा ः |
विचार्यविचार	व ि च ा र ् य व ि च ा र |
विच्यमाने	व ि च ् य म ा न े |
विजय	व ि ज य |
विजयं	व ि ज य ं |
विजययात्राणाम्	व ि ज य य ा त ् र ा ण ा म ् |
विजयश्रियम्	व ि ज य श ् र ि य म ् |
विजयश्रीः	व ि ज य श ् र ी ः |
विजयार्थं	व ि ज य ा र ् थ ं |
विजितमं	व ि ज ि त म ं |
विजितम्	व ि ज ि त म ् |
विजितवती	व ि ज ि त व त ी |
विजितवान्	व ि ज ि त व ा न ् |
विजिता	व ि ज ि त ा |
विजितानि	व ि ज ि त ा न ि |
विजित्य	व ि ज ि त ् य |
विजेतृ	व ि ज े त ृ |
विज्ञापयति	व ि ज ् ञ ा प य त ि |
विज्ञापितं	व ि ज ् ञ ा प ि त ं |
विज्ञायते	व ि ज ् ञ ा य त े |
वित्त	व ि त ् त |
वित्तमन्त्रिणं	व ि त ् त म न ् त ् र ि ण ं |
वित्तमन्त्रिणा	व ि त ् त म न ् त ् र ि ण ा |
वित्तमन्त्री	व ि त ् त म न ् त ् र ी |
वित्तवर्षीयाणां	व ि त ् त व र ् ष ी य ा ण ा ं |
वित्तीयसाहाय्यप्रदानार्थं	व ि त ् त ी य स ा ह ा य ् य प ् र द ा न ा र ् थ ं |
विदधाति	व ि द ध ा त ि |
विदितमेव	व ि द ि त म े व |
विदेश	व ि द े श |
विदेशमन्त्री	व ि द े श म न ् त ् र ी |
विदेशिव्यापार	व ि द े श ि व ् य ा प ा र |
विदेशे	व ि द े श े |
विद्यते	व ि द ् य त े |
विद्यतेति	व ि द ् य त े त ि |
विद्यन्ते	व ि द ् य न ् त े |
विद्यार्थी	व ि द ् य ा र ् थ ी |
विद्यालयस्य	व ि द ् य ा ल य स ् य |
विद्यालयानुदाना	व ि द ् य ा ल य ा न ु द ा न ा |
विद्यालयानुदानायोगस्य	व ि द ् य ा ल य ा न ु द ा न ा य ो ग स ् य |
विद्यालये	व ि द ् य ा ल य े |
विद्यालयैय	व ि द ् य ा ल य ै य |
विद्युतः	व ि द ् य ु त ः |
विद्युदापुर्तिः	व ि द ् य ु द ा प ु र ् त ि ः |
विद्वत्तल्लजः	व ि द ् व त ् त ल ् ल ज ः |
विद्वांसः	व ि द ् व ा ं स ः |
विद्वेषस्य	व ि द ् व े ष स ् य |
विधा	व ि ध ा |
विधातत्यः	व ि ध ा त त ् य ः |
विधातुं	व ि ध ा त ु ं |
विधातुम्	व ि ध ा त ु म ् |
विधान	व ि ध ा न |
विधानं	व ि ध ा न ं |
विधानसभा	व ि ध ा न स भ ा |
विधानसभायां	व ि ध ा न स भ ा य ा ं |
विधानसभासदस्यैः	व ि ध ा न स भ ा स द स ् य ै ः |
विधानसभासनानां	व ि ध ा न स भ ा स न ा न ा ं |
विधानसभासनार्थं	व ि ध ा न स भ ा स न ा र ् थ ं |
विधानसभोपनिर्वाचनार्थं	व ि ध ा न स भ ो प न ि र ् व ा च न ा र ् थ ं |
विधानात्	व ि ध ा न ा त ् |
विधानेन	व ि ध ा न े न |
विधानेनां	व ि ध ा न े न ा ं |
विधापयितुं	व ि ध ा प य ि त ु ं |
विधाय	व ि ध ा य |
विधायकदलं	व ि ध ा य क द ल ं |
विधायिकाकार्यपालिकायाभ्यां	व ि ध ा य ि क ा क ा र ् य प ा ल ि क ा य ा भ ् य ा ं |
विधास्यं	व ि ध ा स ् य ं |
विधास्यतः	व ि ध ा स ् य त ः |
विधास्यति	व ि ध ा स ् य त ि |
विधास्यते	व ि ध ा स ् य त े |
विधिः	व ि ध ि ः |
विधिदूरसंचार	व ि ध ि द ू र स ं च ा र |
विधीयते	व ि ध ी य त े |
विधीयन्ते	व ि ध ी य न ् त े |
विधीयमानस्य	व ि ध ी य म ा न स ् य |
विधीयमानाः	व ि ध ी य म ा न ा ः |
विधीयमानानि	व ि ध ी य म ा न ा न ि |
विधीयमानोअवैध	व ि ध ी य म ा न ो अ व ै ध |
विधेयकं	व ि ध े य क ं |
विध्यन्ति	व ि ध ् य न ् त ि |
विनम्रतया	व ि न म ् र त य ा |
विना	व ि न ा |
विनिर्धारित्	व ि न ि र ् ध ा र ि त ् |
विनिवेदिताः	व ि न ि व े द ि त ा ः |
विनिवेशं	व ि न ि व े श ं |
विनैव	व ि न ै व |
विपक्ष	व ि प क ् ष |
विपक्षनेतृपदस्य	व ि प क ् ष न े त ृ प द स ् य |
विपक्षिदलानां	व ि प क ् ष ि द ल ा न ा ं |
विपणिमूल्येन्	व ि प ण ि म ू ल ् य े न ् |
विपणीभ्यश्च	व ि प ण ी भ ् य श ् च |
विपणौ	व ि प ण ौ |
विप्लव	व ि प ् ल व |
विफला	व ि फ ल ा |
विफ़लो	व ि फ ़ ल ो |
विभागः	व ि भ ा ग ः |
विभागस्य	व ि भ ा ग स ् य |
विभागानां	व ि भ ा ग ा न ा ं |
विभागेन	व ि भ ा ग े न |
विभाजनविषयकं	व ि भ ा ज न व ि ष य क ं |
विभिन्न	व ि भ ि न ् न |
विभिन्नानां	व ि भ ि न ् न ा न ा ं |
विभिन्नेषु	व ि भ ि न ् न े ष ु |
विभ्रष्टेष्टि	व ि भ ् र ष ् ट े ष ् ट ि |
विमर्शाश्च	व ि म र ् श ा श ् च |
विमानेन	व ि म ा न े न |
विमानैः	व ि म ा न ै ः |
विमिन्नेषु	व ि म ि न ् न े ष ु |
विमुक्तये	व ि म ु क ् त य े |
विमृश्यमाने	व ि म ृ श ् य म ा न े |
विमोचनाय	व ि म ो च न ा य |
विमोचनार्थं	व ि म ो च न ा र ् थ ं |
विमोच्यन्ते	व ि म ो च ् य न ् त े |
विरचयितुं	व ि र च य ि त ु ं |
विरचितं	व ि र च ि त ं |
विरचितः	व ि र च ि त ः |
विरचितवान्	व ि र च ि त व ा न ् |
विरलद्रव्यरूपेण	व ि र ल द ् र व ् य र ू प े ण |
विराजः	व ि र ा ज ः |
विराजते	व ि र ा ज त े |
विराट्	व ि र ा ट ् |
विराडित्युच्यते	व ि र ा ड ि त ् य ु च ् य त े |
विराड्पुरुषः	व ि र ा ड ् प ु र ु ष ः |
विराड्पुरुषादेव	व ि र ा ड ् प ु र ु ष ा द े व |
विरामस्य	व ि र ा म स ् य |
विरामाय	व ि र ा म ा य |
विरामोल्लंघनं	व ि र ा म ो ल ् ल ं घ न ं |
विरामोल्लङ्घनं	व ि र ा म ो ल ् ल ङ ् घ न ं |
विरीहिपाक	व ि र ी ह ि प ा क |
विरुद्धं	व ि र ु द ् ध ं |
विरुद्ध्य	व ि र ु द ् ध ् य |
विरुध्य	व ि र ु ध ् य |
विरूद्ध्य	व ि र ू द ् ध ् य |
विरूध्य	व ि र ू ध ् य |
विरोध	व ि र ो ध |
विरोधाचरणं	व ि र ो ध ा च र ण ं |
विरोधि	व ि र ो ध ि |
विरोधिनां	व ि र ो ध ि न ा ं |
विरोधो	व ि र ो ध ो |
विलम्बकारणात्	व ि ल म ् ब क ा र ण ा त ् |
विलसन्ति	व ि ल स न ् त ि |
विवः	व ि व ः |
विवक्षया	व ि व क ् ष य ा |
विवक्षितं	व ि व क ् ष ि त ं |
विवरण	व ि व र ण |
विवरणं	व ि व र ण ं |
विवरणम्	व ि व र ण म ् |
विवरणार्थं	व ि व र ण ा र ् थ ं |
विवर्धयितुं	व ि व र ् ध य ि त ु ं |
विवर्धयितुम्	व ि व र ् ध य ि त ु म ् |
विवर्धितम्	व ि व र ् ध ि त म ् |
विवर्ध्य	व ि व र ् ध ् य |
विवादं	व ि व ा द ं |
विवादग्रस्तानि	व ि व ा द ग ् र स ् त ा न ि |
विवादम्	व ि व ा द म ् |
विवादास्पदं	व ि व ा द ा स ् प द ं |
विवादो	व ि व ा द ो |
विवाहस्य	व ि व ा ह स ् य |
विवाहाः	व ि व ा ह ा ः |
विवाहादिकं	व ि व ा ह ा द ि क ं |
विवाहादिषु	व ि व ा ह ा द ि ष ु |
विवाहो	व ि व ा ह ो |
विविदिषन्ति	व ि व ि द ि ष न ् त ि |
विविधान्विषयान्	व ि व ि ध ा न ् व ि ष य ा न ् |
विवेक	व ि व े क |
विवेक्तव्यमिति	व ि व े क ् त व ् य म ि त ि |
विवेक्तुं	व ि व े क ् त ु ं |
विशाखान्तानि	व ि श ा ख ा न ् त ा न ि |
विशिष्ट	व ि श ि ष ् ट |
विशिष्टयोजनाः	व ि श ि ष ् ट य ो ज न ा ः |
विशिष्टशौर्यसेवार्थं	व ि श ि ष ् ट श ौ र ् य स े व ा र ् थ ं |
विशिष्टान्वीक्षणवृन्दमेकं	व ि श ि ष ् ट ा न ् व ी क ् ष ण व ृ न ् द म े क ं |
विशिष्टो	व ि श ि ष ् ट ो |
विशिष्टोपलब्धिः	व ि श ि ष ् ट ो प ल ब ् ध ि ः |
विशिष्टोपवेशने	व ि श ि ष ् ट ो प व े श न े |
विशेष	व ि श े ष |
विशेषः	व ि श े ष ः |
विशेषतः	व ि श े ष त ः |
विशेषान्वीक्षण	व ि श े ष ा न ् व ी क ् ष ण |
विशेषाभियान	व ि श े ष ा भ ि य ा न |
विशेषावधानप्रदानार्थं	व ि श े ष ा व ध ा न प ् र द ा न ा र ् थ ं |
विशेषेण	व ि श े ष े ण |
विश्व	व ि श ् व |
विश्वस्य	व ि श ् व स ् य |
विश्वस्वास्थ्यसंघटनविषये	व ि श ् व स ् व ा स ् थ ् य स ं घ ट न व ि ष य े |
विष	व ि ष |
विषमसत्य	व ि ष म स त ् य |
विषय	व ि ष य |
विषयः	व ि ष य ः |
विषयकं	व ि ष य क ं |
विषयकनिर्णयस्य	व ि ष य क न ि र ् ण य स ् य |
विषयको	व ि ष य क ो |
विषयाः	व ि ष य ा ः |
विषयान्	व ि ष य ा न ् |
विषये	व ि ष य े |
विषयेषु	व ि ष य े ष ु |
विषसमानान्	व ि ष स म ा न ा न ् |
विसर्जनं	व ि स र ् ज न ं |
विस्खलन	व ि स ् ख ल न |
विस्तरेण	व ि स ् त र े ण |
विस्तृतंविवरणं	व ि स ् त ृ त ं व ि व र ण ं |
विस्तृतस्य	व ि स ् त ृ त स ् य |
विस्फ़ोटाक्रमणत्रये	व ि स ् फ ़ ो ट ा क ् र म ण त ् र य े |
विस्फोटक	व ि स ् फ ो ट क |
विस्फोटकानि	व ि स ् फ ो ट क ा न ि |
विस्फोटेन	व ि स ् फ ो ट े न |
विहाय	व ि ह ा य |
विहित	व ि ह ि त |
विहितं	व ि ह ि त ं |
विहितः	व ि ह ि त ः |
विहितमस्ति	व ि ह ि त म स ् त ि |
विहितम्	व ि ह ि त म ् |
विहितवन्तौ	व ि ह ि त व न ् त ौ |
विहिता	व ि ह ि त ा |
विहिताक्रमणप्रसङ्गे	व ि ह ि त ा क ् र म ण प ् र स ङ ् ग े |
विहितानि	व ि ह ि त ा न ि |
विहितायाः	व ि ह ि त ा य ा ः |
विहितास्ति	व ि ह ि त ा स ् त ि |
विहितेषु	व ि ह ि त े ष ु |
विहितैः	व ि ह ि त ै ः |
विहितो	व ि ह ि त ो |
विहित्	व ि ह ि त ् |
वीणा	व ी ण ा |
वीर	व ी र |
वीरगतिं	व ी र ग त ि ं |
वीहिपाकादि	व ी ह ि प ा क ा द ि |
वुष्टिः	व ु ष ् ट ि ः |
वृक्ष	व ृ क ् ष |
वृक्षस्य	व ृ क ् ष स ् य |
वृक्षेषु	व ृ क ् ष े ष ु |
वृतास्यात्	व ृ त ा स ् य ा त ् |
वृत्तं	व ृ त ् त ं |
वृत्तम्	व ृ त ् त म ् |
वृत्रं	व ृ त ् र ं |
वृद्धिः	व ृ द ् ध ि ः |
वृद्धिपीडिताः	व ृ द ् ध ि प ी ड ि त ा ः |
वृद्धिम्	व ृ द ् ध ि म ् |
वृद्धिरियं	व ृ द ् ध ि र ि य ं |
वृद्धिविषयकः	व ृ द ् ध ि व ि ष य क ः |
वृध्देः	व ृ ध ् द े ः |
वृध्यर्थं	व ृ ध ् य र ् थ ं |
वृन्दं	व ृ न ् द ं |
वृन्दानि	व ृ न ् द ा न ि |
वृन्देन	व ृ न ् द े न |
वृश्चिकभिया	व ृ श ् च ि क भ ि य ा |
वृषभशकटानां	व ृ ष भ श क ट ा न ा ं |
वृषभाणां	व ृ ष भ ा ण ा ं |
वृष्टि	व ृ ष ् ट ि |
वृष्टेः	व ृ ष ् ट े ः |
वृष्टेरन्नं	व ृ ष ् ट े र न ् न ं |
वृष्णीनां	व ृ ष ् ण ी न ा ं |
वे	व े |
वेंकय्या	व े ं क य ् य ा |
वेंकय्यानायडूः	व े ं क य ् य ा न ा य ड ू ः |
वेग	व े ग |
वेद	व े द |
वेदनित्यत्वन्तु	व े द न ि त ् य त ् व न ् त ु |
वेदमन्त्रपूर्वकं	व े द म न ् त ् र प ू र ् व क ं |
वेदमन्त्रपूर्वके	व े द म न ् त ् र प ू र ् व क े |
वेदविहितत्वात्	व े द व ि ह ि त त ् व ा त ् |
वेदस्य	व े द स ् य |
वेदाङ्गत्वात्	व े द ा ङ ् ग त ् व ा त ् |
वेदाङ्गेषु	व े द ा ङ ् ग े ष ु |
वेदाधिकारिणः	व े द ा ध ि क ा र ि ण ः |
वेदाध्ययनं	व े द ा ध ् य य न ं |
वेदाध्ययनमूलंकुत्वा	व े द ा ध ् य य न म ू ल ं क ु त ् व ा |
वेदाध्ययनातन्तरं	व े द ा ध ् य य न ा त न ् त र ं |
वेदाध्ययनेन	व े द ा ध ् य य न े न |
वेदानुवचनेन	व े द ा न ु व च न े न |
वेदान्तेषु	व े द ा न ् त े ष ु |
वेदार्थ	व े द ा र ् थ |
वेदार्थसारभूताः	व े द ा र ् थ स ा र भ ू त ा ः |
वेदाश्च	व े द ा श ् च |
वेदास्तु	व े द ा स ् त ु |
वेदिकायाः	व े द ि क ा य ा ः |
वेदे	व े द े |
वेदेषु	व े द े ष ु |
वेदेष्वपि	व े द े ष ् व प ि |
वेदोक्तः	व े द ो क ् त ः |
वेदोक्तान	व े द ो क ् त ा न |
वेदोक्तानि	व े द ो क ् त ा न ि |
वेदोक्तासृष्टिस्तु	व े द ो क ् त ा स ृ ष ् ट ि स ् त ु |
वेष्टनात्	व े ष ् ट न ा त ् |
वेष्टने	व े ष ् ट न े |
वेष्टवेन	व े ष ् ट व े न |
वेस्ट्	व े स ् ट ् |
वै	व ै |
वैकुण्ठं	व ै क ु ण ् ठ ं |
वैदिकं	व ै द ि क ं |
वैदिकविदुषाम्	व ै द ि क व ि द ु ष ा म ् |
वैदिकहाफ़िज़सम्भाषणम्	व ै द ि क ह ा फ ़ ि ज ़ स म ् भ ा ष ण म ् |
वैदिकी	व ै द ि क ी |
वैदिके	व ै द ि क े |
वैदेशिक	व ै द े श ि क |
वैदेशिकस्य	व ै द े श ि क स ् य |
वैद्युताणविक	व ै द ् य ु त ा ण व ि क |
वैफ़ल्यार्थं	व ै फ ़ ल ् य ा र ् थ ं |
वैमानिक्	व ै म ा न ि क ् |
वैमानिक्स्रोतांसि	व ै म ा न ि क ् स ् र ो त ा ं स ि |
वैशरीरी	व ै श र ी र ी |
वैश्वदेव	व ै श ् व द े व |
वैश्वदेवाख्यानां	व ै श ् व द े व ा ख ् य ा न ा ं |
वैषम्यं	व ै ष म ् य ं |
व्	व ् |
व्दितीयसप्ताहे	व ् द ि त ी य स प ् त ा ह े |
व्यक्तिकाश्च	व ् य क ् त ि क ा श ् च |
व्यख्यास्यामः	व ् य ख ् य ा स ् य ा म ः |
व्यजयत्	व ् य ज य त ् |
व्यतिरिक्त	व ् य त ि र ि क ् त |
व्यदधात्	व ् य द ध ा त ् |
व्यपदिश्येत	व ् य प द ि श ् य े त |
व्यय	व ् य य |
व्ययः	व ् य य ः |
व्ययार्थम्	व ् य य ा र ् थ म ् |
व्यवस्था	व ् य व स ् थ ा |
व्यवस्थां	व ् य व स ् थ ा ं |
व्यवस्थात्	व ् य व स ् थ ा त ् |
व्यवस्थायाः	व ् य व स ् थ ा य ा ः |
व्यवस्थायाम्	व ् य व स ् थ ा य ा म ् |
व्यवस्थायै	व ् य व स ् थ ा य ै |
व्यवस्थाश्च	व ् य व स ् थ ा श ् च |
व्यवहार	व ् य व ह ा र |
व्याकतत्वेन	व ् य ा क त त ् व े न |
व्याकरणम्	व ् य ा क र ण म ् |
व्याकरणस्य	व ् य ा क र ण स ् य |
व्याकृतं	व ् य ा क ृ त ं |
व्याकृतमेव	व ् य ा क ृ त म े व |
व्याख्यस्यामः	व ् य ा ख ् य स ् य ा म ः |
व्याख्याते	व ् य ा ख ् य ा त े |
व्याख्यातेषु	व ् य ा ख ् य ा त े ष ु |
व्याख्यानं	व ् य ा ख ् य ा न ं |
व्याख्यानम्	व ् य ा ख ् य ा न म ् |
व्याख्यानानन्तरं	व ् य ा ख ् य ा न ा न न ् त र ं |
व्याख्यास्यामः	व ् य ा ख ् य ा स ् य ा म ः |
व्याघ्रभीतः	व ् य ा घ ् र भ ी त ः |
व्यापकं	व ् य ा प क ं |
व्यापादयत्	व ् य ा प ा द य त ् |
व्यापादितः	व ् य ा प ा द ि त ः |
